rule;n;n_pos;n_neg;subset;acc;acc_std;rec;rec_std;prec;prec_std;fscore;fscore_std
')' is preceded with whitespace.;15122;10;15112;0.3;0.9999669355905303;3.3064409469651945e-05;1.0;0.0;0.9545454545454545;0.04545454545454547;0.9761904761904763;0.023809523809523836
"switch without ""default"" clause.";15123;1;15122;0.3;0.999854526218343;3.9674667724654e-05;0.0;0.0;0.0;0.0;0.0;0.0
Whitespace around a symbol is not preceded by whitespace;15122;12;15110;0.3;0.998505488691972;7.363793628925904e-05;0.2333333333333333;0.03333333333333334;0.17261500754147813;0.018522851808052562;0.1980124064951651;0.023243802927228784
Symbol should be on a new line;15123;19;15104;0.3;0.9985584870726708;0.00014120317730650515;0.5052631578947369;0.048237638894271996;0.4388465958145592;0.045358810639309334;0.4686311654829732;0.039904061722108725
Overload methods should not be split;15122;4;15118;0.3;0.9993254860468191;6.479274547767633e-05;0.0;0.0;0.0;0.0;0.0;0.0
Empty line should be followed by <p> tag on the next line.;15122;4;15118;0.3;0.9995503240312129;4.9486276772576585e-05;0.25;0.0;0.21333333333333332;0.03231786571610886;0.22888888888888892;0.019051586888313602
Top-level class BookmarkStack has to reside in its own source file.;15123;1;15122;0.3;0.9998743635522054;1.9837333862304796e-05;0.0;0.0;0.0;0.0;0.0;0.0
'static' modifier out of order with the JLS suggestions.;15122;4;15118;0.3;0.999801613543182;4.182353736501607e-05;0.425;0.11456439237389598;0.7666666666666667;0.2;0.5252380952380953;0.10833830443853541
Empty catch block.;15122;3;15119;0.3;0.99981483930697;2.6451527575721555e-05;0.06666666666666667;0.13333333333333333;0.2;0.4000000000000001;0.1;0.20000000000000004
'if' construct must use '{}'s.;15122;31;15091;0.3;0.9996098399682583;4.62901732574699e-05;0.9580645161290324;0.01478250224179307;0.8660300483829895;0.012730430206853124;0.909645979020979;0.010747875283170935
'CTOR_DEF' should be separated from previous statement.;15123;1;15122;0.3;0.999880975996826;4.948300451989799e-05;0.0;0.0;0.0;0.0;0.0;0.0
'else' construct must use '{}'s.;15122;1;15121;0.3;0.9999008067715909;3.3064409469651945e-05;0.0;0.0;0.0;0.0;0.0;0.0
'for' construct must use '{}'s.;15122;5;15117;0.3;0.9999338711810607;0.0;0.8;0.0;1.0;0.0;0.888888888888889;0.0
'protected' modifier out of order with the JLS suggestions.;15123;1;15122;0.3;0.9999338755537922;0.0;0.0;0.0;0.0;0.0;0.0;0.0
